City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
312,Carnarvon,AU,-24.8667,113.6333,69.98,75,0,13.6,clear sky
313,Genthin,DE,52.4,12.1667,48.25,77,89,6.55,overcast clouds
314,Guasdualito,VE,7.2424,-70.7324,82.18,87,91,3.02,overcast clouds
315,Coihaique,CL,-45.5752,-72.0662,60.75,44,40,6.91,scattered clouds
316,Antalya,TR,36.7741,30.7178,56.08,63,0,5.75,clear sky
317,Ubinskoye,RU,55.3068,79.6802,33.03,98,100,13.73,light snow
318,Khoy,IR,38.5504,44.9535,43.72,53,0,0.96,clear sky
319,Epe,NG,6.5841,3.9834,77.99,86,63,4.63,light rain
320,Richards Bay,ZA,-28.783,32.0377,68.32,79,27,10.38,scattered clouds
321,Yarada,IN,17.65,83.2667,73.0,67,0,4.52,clear sky
322,Beira,MZ,-19.8436,34.8389,73.49,94,0,0.0,clear sky
323,Zalaegerszeg,HU,46.84,16.8439,47.79,94,43,5.64,scattered clouds
324,Warrington,GB,53.3925,-2.5802,48.45,93,20,1.14,few clouds
325,Sudak,UA,44.85,34.9667,46.09,71,92,0.89,overcast clouds
326,Ngaoundere,CM,7.3167,13.5833,67.91,42,72,3.24,broken clouds
327,Mount Pleasant,US,32.7941,-79.8626,76.08,89,40,5.75,scattered clouds
328,Mahibadhoo,MV,3.7833,72.9667,81.3,75,88,11.54,overcast clouds
329,Oulu,FI,65.0124,25.4682,30.31,70,100,2.3,overcast clouds
330,Muli,MV,2.9167,73.5667,81.27,73,62,13.35,broken clouds
331,Nisia Floresta,BR,-6.0911,-35.2086,79.61,75,38,9.04,scattered clouds
332,Arlit,NE,18.7369,7.3853,71.82,17,76,14.63,broken clouds
333,Isla Mujeres,MX,21.2311,-86.731,86.16,76,10,9.1,light rain
334,Liverpool,GB,53.4106,-2.9779,46.94,92,20,3.0,moderate rain
335,Villa Maria,AR,-32.4075,-63.2402,91.81,25,85,7.63,overcast clouds
336,Ayyampettai,IN,10.9014,79.1798,71.83,94,72,6.44,broken clouds
337,Mocuba,MZ,-16.8392,36.9856,72.63,90,61,1.14,broken clouds
338,Bentiu,SS,9.2333,29.8333,77.49,40,63,5.12,broken clouds
339,Sarakhs,IR,36.5449,61.1577,50.25,47,1,3.71,clear sky
340,Tabory,RU,58.5198,64.5495,2.21,91,99,8.39,overcast clouds
341,Sur,OM,22.5667,59.5289,78.53,64,0,6.33,clear sky
342,Sasaima,CO,4.9661,-74.4351,76.46,89,100,2.35,overcast clouds
343,Kantabanji,IN,20.4833,82.9167,59.97,61,0,2.3,clear sky
344,Samos,GR,37.7572,26.9769,57.96,83,20,0.0,few clouds
345,Amparafaravola,MG,-17.5833,48.2167,63.21,90,52,2.91,broken clouds
346,Kulob,TJ,37.9145,69.783,43.56,81,15,8.95,few clouds
347,Campo Maior,BR,-4.8278,-42.1686,92.61,27,71,6.06,broken clouds
