City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
179,Det Udom,TH,2022-11-15 02:45:01,14.906,105.0784,84.02,61,22,1.28
180,Garden City,US,2022-11-15 02:43:51,42.3256,-83.331,37.4,55,100,4.61
181,Ajdabiya,LY,2022-11-15 02:45:01,30.7554,20.2263,60.01,75,0,2.33
182,Provideniya,RU,2022-11-15 02:45:01,64.3833,-173.3,30.36,69,100,20.13
183,Karasjok,NO,2022-11-15 02:37:58,69.4719,25.5112,24.26,93,97,4.61
184,Coahuayana,MX,2022-11-15 02:45:02,18.7333,-103.6833,73.76,89,66,3.18
185,Beloha,MG,2022-11-15 02:45:03,-25.1667,45.05,75.42,78,69,4.27
186,Siguiri,GN,2022-11-15 02:45:03,11.6667,-9.5,75.42,69,92,2.37
187,Sungaipenuh,ID,2022-11-15 02:45:04,-2.0833,101.3833,71.74,78,100,3.62
188,Saiha,IN,2022-11-15 02:45:04,22.4833,92.9667,75.38,41,0,0.54
189,Kavaratti,IN,2022-11-15 02:45:04,10.5669,72.642,79.84,79,100,8.39
190,Namatanai,PG,2022-11-15 02:45:05,-3.6667,152.4333,84.96,67,100,10.85
191,Biloela,AU,2022-11-15 02:45:05,-24.4167,150.5,90.97,24,1,6.91
192,Mvomero,TZ,2022-11-15 02:45:06,-6.25,38.6667,71.91,96,34,2.21
193,Jumla,NP,2022-11-15 02:45:06,29.2747,82.1838,51.89,47,93,2.1
194,Dzerzhinsk,RU,2022-11-15 02:43:01,56.2389,43.4631,28.22,74,40,13.42
195,Hami,CN,2022-11-15 02:45:07,42.8,93.45,42.35,34,90,5.91
196,Kurilsk,RU,2022-11-15 02:45:07,45.2333,147.8833,39.2,61,97,7.54
197,Xique-Xique,BR,2022-11-15 02:45:15,-10.8218,-42.7263,78.98,63,61,3.44
198,Haines Junction,CA,2022-11-15 02:44:20,60.7522,-137.5108,35.55,93,100,2.3
199,Three Hills,CA,2022-11-15 02:35:23,51.7001,-113.2686,16.99,91,12,8.05
200,Iquitos,PE,2022-11-15 02:45:16,-3.7481,-73.2472,75.24,94,75,3.44
201,Paoua,CF,2022-11-15 02:45:16,7.2427,16.4406,68.32,52,0,2.55
202,Mount Darwin,ZW,2022-11-15 02:45:17,-16.7725,31.5838,64.54,94,91,3.91
203,Hirara,JP,2022-11-15 02:45:17,24.8,125.2833,77.27,69,75,6.91
204,Esperance,AU,2022-11-15 02:45:17,-33.8667,121.9,60.8,59,90,11.92
205,Karpathos,GR,2022-11-15 02:45:18,35.507,27.2132,62.56,72,91,18.41
206,Bluff,NZ,2022-11-15 02:45:18,-46.6,168.3333,65.28,56,100,7.0
207,Iisalmi,FI,2022-11-15 02:45:19,63.5592,27.1907,34.9,96,99,7.11
208,Aran,AZ,2022-11-15 02:45:19,40.6253,46.9756,48.96,91,66,6.4
209,Saint Helens,GB,2022-11-15 02:45:19,53.45,-2.7333,51.22,88,40,11.5
210,Pandamatenga,BW,2022-11-15 02:45:20,-18.5278,25.627,65.41,80,65,10.36
211,Singleton,AU,2022-11-15 02:45:21,-32.5667,151.1833,77.92,50,85,13.04
212,Paso De Los Toros,UY,2022-11-15 02:45:21,-32.8167,-56.5167,57.4,86,11,9.82
213,Ibaiti,BR,2022-11-15 02:45:22,-23.8486,-50.1878,62.15,97,81,2.19
214,Severo-Kurilsk,RU,2022-11-15 02:45:22,50.6789,156.125,35.11,84,94,33.98
215,Dudinka,RU,2022-11-15 02:43:28,69.4058,86.1778,-30.55,100,38,2.04
